query_name,resolved_name,ott_id,rank,resolution_status,analysis_rule,n_tnrs_matches
Epidalea calamita,Epidalea calamita,436364,species,clean_self,exact_species_terminal,1
Equus grevyi,Equus grevyi,1068209,species,clean_self,exact_species_terminal,1
Equus quagga,Equus burchellii quagga,124776,subspecies,manual_taxonomy_review,exclude_from_confirmatory_tree_until_resolved,1
Eremophila bilopha,Eremophila bilopha,781906,species,clean_self,exact_species_terminal,1
Erythrocebus patas,Erythrocebus patas,268326,species,clean_self,exact_species_terminal,1
Eschrichtius robustus,Eschrichtius robustus,800320,species,clean_self,exact_species_terminal,1
Eubalaena australis,Eubalaena australis,699249,species,clean_self,exact_species_terminal,1
Eubalaena glacialis,Eubalaena glacialis,397247,species,clean_self,exact_species_terminal,1
Eulacestoma nigropectus,Eulacestoma nigropectus,663331,species,clean_self,exact_species_terminal,1
Eulemur fulvus,Eulemur fulvus,394961,species,clean_self,exact_species_terminal,1
Eupleres goudotii,Eupleres goudotii,527114,species,clean_self,exact_species_terminal,1
Falcunculus frontatus,Falcunculus frontatus,965222,species,clean_self,exact_species_terminal,1
Fringilla coelebs,Fringilla coelebs,828694,species,clean_self,exact_species_terminal,1
Galerella sanguinea,Galerella sanguinea,750158,species,clean_self,exact_species_terminal,1
Gallinago media,Gallinago media,848007,species,clean_self,exact_species_terminal,1
Gallinago nemoricola,Gallinago nemoricola,3596862,species,clean_self,exact_species_terminal,1
Gallus domesticus,Gallus gallus,153563,species,retain_domestic_operational_form,shared_species_cluster,1
Gallus gallus,Gallus gallus,153563,species,clean_self,exact_species_terminal,1
Gasterosteus aculeatus,Gasterosteus aculeatus,401066,species,clean_self,exact_species_terminal,1
Gerygone fusca,Gerygone fusca,918678,species,clean_self,exact_species_terminal,1
Gopherus agassizii,Gopherus agassizii,831059,species,clean_self,exact_species_terminal,2
Gorilla beringei,Gorilla beringei,351685,species,clean_self,exact_species_terminal,1
Gorilla gorilla,Gorilla gorilla,417965,species,clean_self,exact_species_terminal,1
Gryllus campestris,Gryllus campestris,599281,species,clean_self,exact_species_terminal,3
Gyps fulvus,Gyps fulvus,549517,species,clean_self,exact_species_terminal,1
Gyps rueppellii,Gyps rueppellii,263132,species,clean_self,exact_species_terminal,1
Haemorhous mexicanus,Haemorhous mexicanus,711865,species,clean_self,exact_species_terminal,1
Helogale parvula,Helogale parvula,6940,species,clean_self,exact_species_terminal,1
Heterocephalus glaber,Heterocephalus glaber,1048195,species,clean_self,exact_species_terminal,1
Hipposideros larvatus,Hipposideros larvatus,1073067,species,clean_self,exact_species_terminal,1
Hipposideros maggietaylorae,Hipposideros maggietaylorae,3614062,species,clean_self,exact_species_terminal,1
Hirundo rustica,Hirundo rustica,1040135,species,clean_self,exact_species_terminal,1
Homo sapiens,Homo sapiens,770315,species,clean_self,exact_species_terminal,1
Hyaena brunnea,Parahyaena brunnea,742313,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Hyla versicolor,Dryophytes versicolor,386095,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Hypsugo savii,Hypsugo savii,1080298,species,clean_self,exact_species_terminal,1
Junco hyemalis,Junco hyemalis,989502,species,clean_self,exact_species_terminal,1
Kogia breviceps,Kogia breviceps,825964,species,clean_self,exact_species_terminal,1
Labroides dimidiatus,Labroides dimidiatus,302377,species,clean_self,exact_species_terminal,1
Lagenorhynchus albirostris,Lagenorhynchus albirostris,825969,species,clean_self,exact_species_terminal,1
Larus occidentalis,Larus occidentalis,416090,species,clean_self,exact_species_terminal,1
Larus thayeri,Larus thayeri,306645,species,clean_self,exact_species_terminal,1
Laupala cerasina,Laupala cerasina,743053,species,clean_self,exact_species_terminal,1
Lemur catta,Lemur catta,913930,species,clean_self,exact_species_terminal,1
Leontopithecus rosalia,Leontopithecus rosalia,921451,species,clean_self,exact_species_terminal,1
Leptonychotes weddellii,Leptonychotes weddellii,175259,species,clean_self,exact_species_terminal,1
Lophostoma silvicolum,Lophostoma silvicolum,951266,species,clean_self,exact_species_terminal,1
Loxigilla noctis,Loxigilla noctis,726784,species,clean_self,exact_species_terminal,1
Loxodonta africana,Loxodonta africana,541936,species,clean_self,exact_species_terminal,1
Loxodonta cyclotis,Loxodonta cyclotis,418570,species,clean_self,exact_species_terminal,1
Lycaon pictus,Lycaon pictus,821953,species,clean_self,exact_species_terminal,1
Macaca arctoides,Macaca arctoides,689665,species,clean_self,exact_species_terminal,1
Macaca assamensis,Macaca assamensis,115440,species,clean_self,exact_species_terminal,1
Macaca fascicularis,Macaca fascicularis,689668,species,clean_self,exact_species_terminal,1
Macaca fuscata,Macaca fuscata,689660,species,clean_self,exact_species_terminal,1
Macaca mulatta,Macaca mulatta,689650,species,clean_self,exact_species_terminal,1
Macaca radiata,Macaca radiata,837392,species,clean_self,exact_species_terminal,1
Macaca sylvanus,Macaca sylvanus,689645,species,clean_self,exact_species_terminal,1
Macaca tonkeana,Macaca tonkeana,407753,species,clean_self,exact_species_terminal,1
Macropus antilopinus,Osphranter antilopinus,398453,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Macropus giganteus,Macropus giganteus,597239,species,clean_self,exact_species_terminal,1
Mandrillus sphinx,Mandrillus sphinx,741047,species,clean_self,exact_species_terminal,1
Megaptera novaeangliae,Megaptera novaeangliae,226198,species,clean_self,exact_species_terminal,1
Melopsittacus undulatus,Melopsittacus undulatus,734818,species,clean_self,exact_species_terminal,1
Melospiza georgiana,Melospiza georgiana,265545,species,clean_self,exact_species_terminal,1
Melursus ursinus,Melursus ursinus,297463,species,clean_self,exact_species_terminal,1
Meriones unguiculatus,Meriones unguiculatus,764841,species,clean_self,exact_species_terminal,1
Metazygia rogenhoferi,Metazygia rogenhoferi,3571207,species,clean_self,exact_species_terminal,1
Microtus agrestis,Microtus agrestis,754333,species,clean_self,exact_species_terminal,1
Mirounga angustirostris,Mirounga angustirostris,175268,species,clean_self,exact_species_terminal,1
Molothrus ater,Molothrus ater,213450,species,clean_self,exact_species_terminal,1
Monodon monoceros,Monodon monoceros,306757,species,clean_self,exact_species_terminal,1
Montifringilla nivalis,Montifringilla nivalis,567983,species,clean_self,exact_species_terminal,1
Mus musculus,Mus musculus,542509,species,clean_self,exact_species_terminal,1
Myiomela albiventris,Brachypteryx albiventris,736235,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Myiomela major,Sholicola major,1082155,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Myiopsitta monachus,Myiopsitta monachus,276609,species,clean_self,exact_species_terminal,1
Myotis sodalis,Myotis sodalis,939110,species,clean_self,exact_species_terminal,1
Natrix natrix,Natrix natrix,1010557,species,clean_self,exact_species_terminal,1
Nephila clavipes,Trichonephila clavipes,201922,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Nestor notabilis,Nestor notabilis,749203,species,clean_self,exact_species_terminal,1
Octopus vulgaris,Octopus vulgaris,110468,species,clean_self,exact_species_terminal,1
Orcinus orca,Orcinus orca,124215,species,clean_self,exact_species_terminal,1
Otis tarda,Otis tarda,458651,species,clean_self,exact_species_terminal,1
Otospermophilus beecheyi,Otospermophilus beecheyi,798034,species,clean_self,exact_species_terminal,1
Ovis aries,Ovis aries,70819,species,clean_self,exact_species_terminal,1
Ovis canadensis,Ovis canadensis,123206,species,clean_self,exact_species_terminal,1
Pampa curvipennis,Pampa curvipennis,6520903,species,clean_self,exact_species_terminal,1
Pan paniscus,Pan paniscus,158484,species,clean_self,exact_species_terminal,1
Pan troglodytes,Pan troglodytes,417950,species,clean_self,exact_species_terminal,1
Panthera leo,Panthera leo,563151,species,clean_self,exact_species_terminal,1
Panthera tigris,Panthera tigris,42314,species,clean_self,exact_species_terminal,1
Papio anubis,Papio anubis,115449,species,clean_self,exact_species_terminal,1
Papio cynocephalus,Papio cynocephalus,115471,species,clean_self,exact_species_terminal,1
Papio papio,Papio papio,513904,species,clean_self,exact_species_terminal,1
Papio ursinus,Papio ursinus,203159,species,clean_self,exact_species_terminal,1
Paraponera clavata,Paraponera clavata,1037289,species,clean_self,exact_species_terminal,1
Parus leucomelas,Melaniparus leucomelas,4131693,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Parus major,Parus major,515143,species,clean_self,exact_species_terminal,1
Passerculus sandwichensis,Passerculus sandwichensis,453758,species,clean_self,exact_species_terminal,1
Passerina cyanea,Passerina cyanea,939942,species,clean_self,exact_species_terminal,1
Periplaneta americana,Periplaneta americana,48288,species,clean_self,exact_species_terminal,1
Philesturnus rufusater,Philesturnus rufusater,22325,species,clean_self,exact_species_terminal,1
Philetairus socius,Philetairus socius,617301,species,clean_self,exact_species_terminal,1
Physeter macrocephalus,Physeter catodon,276851,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Pipistrellus pipistrellus,Pipistrellus pipistrellus,867410,species,clean_self,exact_species_terminal,1
Platymantis vitiensis,Platymantis vitiensis,376753,species,clean_self,exact_species_terminal,1
Plocepasser mahali,Plocepasser mahali,817626,species,clean_self,exact_species_terminal,1
Ploceus bicolor,Ploceus bicolor,536139,species,clean_self,exact_species_terminal,1
Ploceus megarhynchus,Ploceus megarhynchus,3597743,species,clean_self,exact_species_terminal,1
Poecile atricapillus,Poecile atricapillus,17262,species,clean_self,exact_species_terminal,1
Poecilia reticulata,Poecilia reticulata,312452,species,clean_self,exact_species_terminal,1
Poicephalus gulielmi,Poicephalus gulielmi,256842,species,clean_self,exact_species_terminal,1
Pongo abelii,Pongo abelii,770295,species,clean_self,exact_species_terminal,1
Pongo pygmaeus,Pongo pygmaeus,770302,species,clean_self,exact_species_terminal,1
Porcellio laevis,Porcellio laevis,898328,species,clean_self,exact_species_terminal,1
Portia fimbriata,Portia fimbriata,42352,species,clean_self,exact_species_terminal,1
Procyon cancrivorus,Procyon cancrivorus,914060,species,clean_self,exact_species_terminal,1
Procyon lotor,Procyon lotor,348040,species,clean_self,exact_species_terminal,1
Psittacus erithacus,Psittacus erithacus,285641,species,clean_self,exact_species_terminal,1
Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,187409,species,clean_self,exact_species_terminal,1
Pygathrix nigripes,Pygathrix nigripes,473243,species,clean_self,exact_species_terminal,1
Quiscalus lugubris,Quiscalus lugubris,498749,species,clean_self,exact_species_terminal,1
Rattus norvegicus,Rattus norvegicus,271555,species,clean_self,exact_species_terminal,1
Rattus rattus,Rattus rattus,271571,species,clean_self,exact_species_terminal,1
Rhinolophus monoceros,Rhinolophus monoceros,71984,species,clean_self,exact_species_terminal,1
Rhinolophus osgoodi,Rhinolophus osgoodi,498185,species,clean_self,exact_species_terminal,1
Rhinolophus pumilus,Rhinolophus pumilus,678438,species,clean_self,exact_species_terminal,1
Rhizothera longirostris,Rhizothera longirostris,781248,species,clean_self,exact_species_terminal,1
Rhynchophorus ferrugineus,Rhynchophorus ferrugineus,62699,species,clean_self,exact_species_terminal,1
Saccopteryx bilineata,Saccopteryx bilineata,190912,species,clean_self,exact_species_terminal,1
Saguinus fuscicollis,Saguinus fuscicollis,1015238,species,clean_self,exact_species_terminal,1
Saguinus mystax,Saguinus mystax,1015219,species,clean_self,exact_species_terminal,1
Saguinus oedipus,Saguinus oedipus,489218,species,clean_self,exact_species_terminal,1
Saimiri oerstedii,Saimiri oerstedii,4337,species,clean_self,exact_species_terminal,1
Sapajus apella,Sapajus apella,197026,species,clean_self,exact_species_terminal,1
Sapajus libidinosus,Sapajus libidinosus,748283,species,clean_self,exact_species_terminal,1
Sarcophilus harrisii,Sarcophilus harrisii,948469,species,clean_self,exact_species_terminal,1
