scientific_name,retrieval_rank,paper_id,title,screening_status
Camponotus sericeiventris,10,pmid:19800887,Associative learning in ants: conditioning of the maxilla-labium extension response in Camponotus aethiops.,pending
Camponotus sericeiventris,11,pmid:19483008,Differential conditioning and long-term olfactory memory in individual Camponotus fellah ants.,pending
Camponotus sericeiventris,12,pmid:21900478,Long-term olfactory memories are stabilised via protein synthesis in Camponotus fellah ants.,pending
Camponotus sericeiventris,13,pmcid:PMC6235424,Visual Classical Conditioning in Wood Ants.,pending
Camponotus sericeiventris,14,pmcid:PMC2176157,Reconnaissance and latent learning in ants.,pending
Camponotus sericeiventris,15,pmid:22067290,Learning and perceptual similarity among cuticular hydrocarbons in ants.,pending
Camponotus sericeiventris,16,pmid:29097594,Aversive learning of odor-heat associations in ants.,pending
Camponotus sericeiventris,17,pmid:18927055,"Memory span for heterospecific individuals' odors in an ant, Cataglyphis cursor.",pending
Camponotus sericeiventris,18,pmid:22328072,Collective retention and transmission of chemical signals in a social insect.,pending
Camponotus sericeiventris,19,pmid:38493970,Termites can learn.,pending
Camponotus sericeiventris,20,pmid:29222129,Visual associative learning in wood ants.,pending
Camponotus sericeiventris,21,pmid:28931719,"Innate colour preference, individual learning and memory retention in the ant Camponotus blandus.",pending
Camponotus sericeiventris,22,pmid:17639411,Reformation process of the neuronal template for nestmate-recognition cues in the carpenter ant Camponotus floridanus.,pending
Camponotus sericeiventris,23,pmid:29981324,Appetitive and aversive learning of plants odors inside different nest compartments by foraging leaf-cutting ants.,pending
Camponotus sericeiventris,24,pmid:19135366,A motor component to the memories of habitual foraging routes in wood ants?,pending
Camponotus sericeiventris,25,pmid:24896019,Cognitive approach of spatial and temporal information processing in insects.,pending
Chelydra serpentina,1,pmid:42169389,Creative problem solving in a jumping spider.,pending
Chelydra serpentina,2,pmid:17433570,Training and long-term memory of a novel food acquisition task in a turtle (Pseudemys nelsoni).,pending
Chelydra serpentina,3,pmid:21842979,Turtles (Pseudemys nelsoni) learn about visual cues indicating food from experienced turtles.,pending
Chelydra serpentina,4,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending
Chelydra serpentina,5,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Chelydra serpentina,6,pmid:31720927,"The underestimated giants: operant conditioning, visual discrimination and long-term memory in giant tortoises.",pending
Chelydra serpentina,7,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Chelydra serpentina,8,pmid:25578905,The role of age-specific learning and experience for turtles navigating a changing landscape.,pending
Chelydra serpentina,9,pmid:22582817,"Long-term retention of visual tasks by two species of emydid turtles, Pseudemys nelsoni and Trachemys scripta.",pending
Chelydra serpentina,10,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Chelydra serpentina,11,pmid:25649816,Animal navigation: memories of home.,pending
Chelydra serpentina,12,pmid:35570086,Social cognition in insects.,pending
Chelydra serpentina,13,pmid:18840365,Cognitive and psychomotor effects of risperidone in schizophrenia and schizoaffective disorder.,pending
Chelydra serpentina,14,pmid:7186502,Evidence for auditory localization ability in the turtle.,pending
Chelydra serpentina,15,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending
Chelydra serpentina,16,pmid:14294140,PROBABILITY-LEARNING BY THE TURTLE.,pending
Chelydra serpentina,17,pmcid:PMC4802741,Turtles outsmart rapid environmental change: The role of cognition in navigation.,pending
Chelydra serpentina,18,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
Chelydra serpentina,19,pmid:38128351,Inference of social cognition in schizophrenia patients with neurocognitive domains and neurocognitive tests using automated machine learning.,pending
Chelydra serpentina,20,pmid:18085925,Spatial learning and memory in the tortoise (Geochelone carbonaria).,pending
Chelydra serpentina,21,pmcid:PMC12534598,Primary and secondary caregiver burden of cognitive impairment associated with schizophrenia: a qualitative study based on caregiver interviews.,pending
Chelydra serpentina,22,pmcid:PMC2936136,Social learning in a non-social reptile (Geochelone carbonaria).,pending
Chelydra serpentina,23,pmcid:PMC4932492,Evidence for social cooperation in rodents by automated maze.,pending
Chelydra serpentina,24,pmid:23339559,Relational responding by eastern box turtles (Terrapene carolina) in a series of color discrimination tasks.,pending
Chelydra serpentina,25,pmid:22426631,"Visual wavelength discrimination by the loggerhead turtle, Caretta caretta.",pending
Ctenophorus nuchalis,1,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Ctenophorus nuchalis,2,pmid:42169389,Creative problem solving in a jumping spider.,pending
Ctenophorus nuchalis,3,pmid:22890833,Spatial behavior in male and female crayfish (Orconectes rusticus): learning strategies and memory duration.,pending
Ctenophorus nuchalis,4,pmid:21244140,Spatial learning in a T-maze by the crayfish Orconectes rusticus.,pending
Ctenophorus nuchalis,5,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending
Ctenophorus nuchalis,6,pmcid:PMC10602228,Evidence of long-term allocentric spatial memory in the Terrestrial Hermit Crab Coenobita compressus.,pending
Ctenophorus nuchalis,7,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Ctenophorus nuchalis,8,pmcid:PMC4555858,Rival assessment among northern elephant seals: evidence of associative learning during male-male contests.,pending
Ctenophorus nuchalis,9,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Ctenophorus nuchalis,10,pmid:3769447,Socially mediated learning in male Betta splendens.,pending
Ctenophorus nuchalis,11,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Ctenophorus nuchalis,12,pmid:10794916,"Use of cues by Lipophrys pholis L. (Teleostei, Blenniidae) in learning the position of a refuge.",pending
Ctenophorus nuchalis,13,pmid:35570086,Social cognition in insects.,pending
Ctenophorus nuchalis,14,pmid:18840365,Cognitive and psychomotor effects of risperidone in schizophrenia and schizoaffective disorder.,pending
Ctenophorus nuchalis,15,pmid:31545992,Rapid learning of a spatial memory task in a lacertid lizard (Podarcis liolepis).,pending
Ctenophorus nuchalis,16,pmid:23239735,Pheromonal induction of spatial learning in mice.,pending
Ctenophorus nuchalis,17,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending
Ctenophorus nuchalis,18,pmid:18824187,Spatial learning and memory in African mole-rats: the role of sociality and sex.,pending
Ctenophorus nuchalis,19,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
