scientific_name,retrieval_rank,paper_id,title,screening_status
Periplaneta americana,3,pmid:35570086,Social cognition in insects.,pending
Periplaneta americana,4,pmid:16816091,"Dimensions of cognition in an insect, the honeybee.",pending
Periplaneta americana,5,pmid:42169389,Creative problem solving in a jumping spider.,pending
Periplaneta americana,6,pmid:14668321,Spatial learning in the restrained American cockroach Periplaneta americana.,pending
Periplaneta americana,7,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending
Periplaneta americana,8,pmid:14709809,Classical olfactory conditioning in the cockroach Periplaneta americana.,pending
Periplaneta americana,9,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Periplaneta americana,10,pmcid:PMC6077775,"Multiple Representations of Space by the Cockroach, Periplaneta americana.",pending
Periplaneta americana,11,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Periplaneta americana,12,pmid:3228423,Learned helplessness in the cockroach (Periplaneta americana).,pending
Periplaneta americana,13,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Periplaneta americana,14,pmcid:PMC10325095,Emergence and retention of a collective memory in cockroaches.,pending
Periplaneta americana,15,pmid:18840365,Cognitive and psychomotor effects of risperidone in schizophrenia and schizoaffective disorder.,pending
Periplaneta americana,16,pmid:5433111,"The retention of shock avoidance learning in the cockroach, P. americana.",pending
Periplaneta americana,17,pmcid:PMC1885829,Pavlov's cockroach: classical conditioning of salivation in an insect.,pending
Periplaneta americana,18,pmid:19237643,The effect of age on a visual learning task in the American cockroach.,pending
Periplaneta americana,19,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
Periplaneta americana,20,pmid:38128351,Inference of social cognition in schizophrenia patients with neurocognitive domains and neurocognitive tests using automated machine learning.,pending
Periplaneta americana,21,pmid:21753041,"Associative olfactory learning in the desert locust, Schistocerca gregaria.",pending
Periplaneta americana,22,pmcid:PMC5348754,Group-housed females promote production of asexual ootheca in American cockroaches.,pending
Periplaneta americana,23,pmcid:PMC12534598,Primary and secondary caregiver burden of cognitive impairment associated with schizophrenia: a qualitative study based on caregiver interviews.,pending
Periplaneta americana,24,pmid:9862324,Mushroom bodies of the cockroach: their participation in place memory.,pending
Periplaneta americana,25,pmcid:PMC4932492,Evidence for social cooperation in rodents by automated maze.,pending
Platymantis vitiensis,1,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Platymantis vitiensis,2,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Platymantis vitiensis,3,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Platymantis vitiensis,4,pmid:35570086,Social cognition in insects.,pending
Platymantis vitiensis,5,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Platymantis vitiensis,6,pmid:32413121,Cognitive Phenotype and Differential Gene Expression in a Hippocampal Homologue in Two Species of Frog.,pending
Platymantis vitiensis,7,pmid:40592222,Two-year-olds' social learning from others' mistakes in the context of a modified trap-tube task.,pending
Platymantis vitiensis,8,pmcid:PMC6409507,Do Green Treefrogs Use Social Information to Orient Outside the Breeding Season?,pending
Platymantis vitiensis,9,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Platymantis vitiensis,10,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Platymantis vitiensis,11,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Platymantis vitiensis,12,pmcid:PMC1540457,"The role of social context and individual experience in novel task acquisition in cottontop tamarins, Saguinus oedipus.",pending
Platymantis vitiensis,13,pmid:24399272,Semaphoring in an earless frog: the origin of a novel visual signal.,pending
Platymantis vitiensis,14,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Platymantis vitiensis,15,pmcid:PMC12404675,Diverse and flexible strategies enable successful cooperation in marmoset dyads.,pending
Platymantis vitiensis,16,pmid:42169389,Creative problem solving in a jumping spider.,pending
Platymantis vitiensis,17,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending
Platymantis vitiensis,18,pmcid:PMC12247960,Diverse and Flexible Strategies Enable Successful Cooperation in Marmoset Dyads,pending
Platymantis vitiensis,19,pmid:21382262,"Innovation, imitation, and problem-solving in a networked group.",pending
Platymantis vitiensis,20,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Platymantis vitiensis,21,pmcid:PMC10703848,Long-term memory of experienced jays facilitates problem-solving by naïve group members in the wild.,pending
Platymantis vitiensis,22,pmid:24030652,Male vocal competition is dynamic and strongly affected by social contexts in music frogs.,pending
Platymantis vitiensis,23,pmid:17205290,Social learning and innovation are positively correlated in pigeons (Columba livia).,pending
Platymantis vitiensis,24,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending
Platymantis vitiensis,25,pmcid:PMC12165976,Context-dependent frequency alteration in a treefrog.,pending
Porcellio laevis,1,pmid:35570086,Social cognition in insects.,pending
Porcellio laevis,2,pmid:26391028,Evidence of self-organization in a gregarious land-dwelling crustacean (Isopoda: Oniscidea).,pending
Porcellio laevis,3,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Porcellio laevis,4,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Porcellio laevis,5,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Porcellio laevis,6,pmid:23124016,"Sensitivity to tactile novelty in the terrestrial isopod, Porcellio scaber.",pending
Porcellio laevis,7,pmid:17714664,Social learning in insects--from miniature brains to consensus building.,pending
Porcellio laevis,8,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Porcellio laevis,9,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Porcellio laevis,10,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Porcellio laevis,11,pmid:42169389,Creative problem solving in a jumping spider.,pending
Porcellio laevis,12,pmid:16816091,"Dimensions of cognition in an insect, the honeybee.",pending
Porcellio laevis,13,pmcid:PMC2817167,A potent effect of observational learning on chimpanzee tool construction.,pending
Porcellio laevis,14,pmid:16521567,[The study of tool use as the way for general estimation of cognitive abilities in animals].,pending
Porcellio laevis,15,pmid:40592222,Two-year-olds' social learning from others' mistakes in the context of a modified trap-tube task.,pending
Porcellio laevis,16,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Porcellio laevis,17,pmcid:PMC7521350,Exploring the role of individual learning in animal tool-use.,pending
Porcellio laevis,18,pmid:17205290,Social learning and innovation are positively correlated in pigeons (Columba livia).,pending
Porcellio laevis,19,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Porcellio laevis,20,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Porcellio laevis,21,pmcid:PMC4932492,Evidence for social cooperation in rodents by automated maze.,pending
Porcellio laevis,22,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Porcellio laevis,23,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending
Porcellio laevis,24,pmcid:PMC4371577,Long-term fidelity of foraging techniques in common marmosets (Callithrix jacchus).,pending
Porcellio laevis,25,pmid:21382262,"Innovation, imitation, and problem-solving in a networked group.",pending
Trichoniscus pusillus,1,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Trichoniscus pusillus,2,pmid:35570086,Social cognition in insects.,pending
Trichoniscus pusillus,3,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Trichoniscus pusillus,4,pmcid:PMC5049772,Associative Mechanisms Allow for Social Learning and Cultural Transmission of String Pulling in an Insect.,pending
Trichoniscus pusillus,5,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Trichoniscus pusillus,6,pmid:42169389,Creative problem solving in a jumping spider.,pending
Trichoniscus pusillus,7,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Trichoniscus pusillus,8,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Trichoniscus pusillus,9,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Trichoniscus pusillus,10,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Trichoniscus pusillus,11,pmid:40592222,Two-year-olds' social learning from others' mistakes in the context of a modified trap-tube task.,pending
Trichoniscus pusillus,12,pmcid:PMC12404675,Diverse and flexible strategies enable successful cooperation in marmoset dyads.,pending
Trichoniscus pusillus,13,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending
Trichoniscus pusillus,14,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Trichoniscus pusillus,15,pmcid:PMC12247960,Diverse and Flexible Strategies Enable Successful Cooperation in Marmoset Dyads,pending
Trichoniscus pusillus,16,pmcid:PMC12364576,Wild jackdaws learn to tolerate juveniles to exploit new information,pending
Trichoniscus pusillus,17,pmcid:PMC9845967,Social learning in a nocturnal marsupial: is it a possum-ability?,pending
Trichoniscus pusillus,18,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Trichoniscus pusillus,19,pmcid:PMC4045399,"Memory, transmission and persistence of alternative foraging techniques in wild common marmosets.",pending
Trichoniscus pusillus,20,pmcid:PMC5611899,"Spontaneous reoccurrence of ""scooping"", a wild tool-use behaviour, in naïve chimpanzees.",pending
Trichoniscus pusillus,21,pmcid:PMC4371577,Long-term fidelity of foraging techniques in common marmosets (Callithrix jacchus).,pending
Trichoniscus pusillus,22,pmcid:PMC4932492,Evidence for social cooperation in rodents by automated maze.,pending
Trichoniscus pusillus,23,pmid:15125208,[Social learning in animals: comparative analysis of different forms and levels].,pending
Trichoniscus pusillus,24,pmid:17714664,Social learning in insects--from miniature brains to consensus building.,pending
Trichoniscus pusillus,25,pmid:17205290,Social learning and innovation are positively correlated in pigeons (Columba livia).,pending
Zosis geniculata,1,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Zosis geniculata,2,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Zosis geniculata,3,pmid:35570086,Social cognition in insects.,pending
Zosis geniculata,4,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Zosis geniculata,5,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Zosis geniculata,6,pmcid:PMC5049772,Associative Mechanisms Allow for Social Learning and Cultural Transmission of String Pulling in an Insect.,pending
Zosis geniculata,7,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending
Zosis geniculata,8,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Zosis geniculata,9,pmid:12357287,Opportunistic use of cognitive smokescreens by araneophagic jumping spiders.,pending
Zosis geniculata,10,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Zosis geniculata,11,pmid:42169389,Creative problem solving in a jumping spider.,pending
Zosis geniculata,12,pmcid:PMC5611899,"Spontaneous reoccurrence of ""scooping"", a wild tool-use behaviour, in naïve chimpanzees.",pending
Zosis geniculata,13,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Zosis geniculata,14,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Zosis geniculata,15,pmid:40592222,Two-year-olds' social learning from others' mistakes in the context of a modified trap-tube task.,pending
Zosis geniculata,16,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Zosis geniculata,17,pmcid:PMC12364576,Wild jackdaws learn to tolerate juveniles to exploit new information,pending
Zosis geniculata,18,pmid:17205290,Social learning and innovation are positively correlated in pigeons (Columba livia).,pending
Zosis geniculata,19,pmcid:PMC12404675,Diverse and flexible strategies enable successful cooperation in marmoset dyads.,pending
Zosis geniculata,20,pmcid:PMC3662090,The Drosophila DmGluRA is required for social interaction and memory.,pending
Zosis geniculata,21,pmcid:PMC9198510,Conceptual preferences can be transmitted via selective social information use between competing wild bird species.,pending
Zosis geniculata,22,pmid:17714664,Social learning in insects--from miniature brains to consensus building.,pending
Zosis geniculata,23,pmcid:PMC1540457,"The role of social context and individual experience in novel task acquisition in cottontop tamarins, Saguinus oedipus.",pending
Zosis geniculata,24,pmcid:PMC12247960,Diverse and Flexible Strategies Enable Successful Cooperation in Marmoset Dyads,pending
Zosis geniculata,25,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending
