candidate_species	source_name	clade	family	body_mass_g	represented_species_n	represented_median_body_mass_g	abs_log_mass_distance	selection_rule
Dipodomys ingens	Dipodomys ingens	mammals	Heteromyidae	133.85	1	135.88	0.015052373326021495	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Hipposideros maggietaylorae	Hipposideros maggietaylorae	mammals	Hipposideridae	18.5	1	19.85	0.0704332750489205	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Hyaena brunnea	Hyaena brunnea	mammals	Hyaenidae	42977.93	1	66492.06	0.4363958139182422	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Eulemur fulvus	Eulemur fulvus	mammals	Lemuridae	3150.0	1	2900.0	0.08269171584511259	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Macropus antilopinus	Macropus antilopinus	mammals	Macropodidae	27250.0	1	25875.0	0.051776269523719165	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Monodon monoceros	Monodon monoceros	mammals	Monodontidae	900000.0	1	1360000.0	0.41284521540578645	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Desmodillus auricularis	Desmodillus auricularis	mammals	Muridae	53.3	3	53.3	0.0	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Zalophus japonicus	Zalophus japonicus	mammals	Otariidae	80000.0	1	80000.0	0.0	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Trichosurus johnstonii	Trichosurus johnstonii	mammals	Phalangeridae	2293.08	1	2293.08	0.0	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Leptonychotes weddellii	Leptonychotes weddellii	mammals	Phocidae	400000.0	1	750000.0	0.6286086594223743	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Lophostoma silvicolum	Lophostoma silvicolum	mammals	Phyllostomidae	32.29	1	31.21	0.03401902848749572	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Kogia breviceps	Kogia breviceps	mammals	Physeteridae	431500.0	1	14025000.0	3.4813292198674155	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Procyon cancrivorus	Procyon cancrivorus	mammals	Procyonidae	6949.92	1	5524.97	0.22945233119426334	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Rhinolophus osgoodi	Rhinolophus osgoodi	mammals	Rhinolophidae	10.62	1	10.62	0.0	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Melursus ursinus	Melursus ursinus	mammals	Ursidae	93130.0	1	99949.36	0.07066729119074111	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Hypsugo savii	Hypsugo savii	mammals	Vespertilionidae	6.3	2	6.300000000000001	2.220446049250313e-16	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Berardius arnuxii	Berardius arnuxii	mammals	Ziphiidae	7000000.0	1	11380000.0	0.48594727964287365	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
