scientific_name,pool_role,current_panel,acdb,asnr,source_feasibility,biological_proxy_blocks,geometry_dimensions,body_mass_g_best,max_longevity_yrs,female_maturity_days,at_brain_kg,relative_brain_resid_class,at_metabolic_w,metabolic_rate_w_anage,diet_entropy,animal_diet_fraction,social_group_size,population_group_size,population_density_km2,network_nodes,network_density,network_clustering,network_qrel,asnr_network_count,G_life_history_proxy,H_neural_energy_proxy,I_ecology_proxy,J_demography_proxy,F_network_proxy
Melopsittacus undulatus,current_deep_panel,yes,no,no,3,3,6,28.99,21.0,180.0,0.001554,0.09989790798776932,0.622222222222222,0.3035,0.0,0.0,,,,,,,,,1,1,1,0,0
Melospiza georgiana,acdb_source_candidate,no,yes,no,4,3,5,16.1,7.8,365.0,,,,0.211,0.9911594714322187,0.4,,,,,,,,,1,1,1,0,0
Melursus ursinus,database_unrepresented_family_mass_calibration,no,no,no,4,4,6,93130.0,33.3,1095.0,,,,47.064,0.7298466991620975,0.7,,,0.13,,,,,,1,1,1,1,0
Meriones unguiculatus,acdb_source_candidate,no,yes,no,4,3,6,53.3,6.3,43.0,0.000968,-0.3487672508612265,,0.546,0.8804820237218407,0.2,,,,,,,,,1,1,1,0,0
Metazygia rogenhoferi,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.0166,,,,,6.02777777777778e-05,,,,,,,,,,,,0,1,0,0,0
Microtus agrestis,asnr_source_candidate,no,no,yes,6,5,9,42.5,4.8,36.0,,,,0.367,0.7219280948873623,0.0,,,1948.7,54.0,0.05,0.455,0.762,255,1,1,1,1,1
Mirounga angustirostris,asnr_source_candidate,no,no,yes,4,3,7,750000.0,,1095.0,,,,,0.9709505944546688,1.0,,,,32.5,0.0615,0.0505,0.745,4,1,0,1,0,1
Molothrus ater,acdb_asnr_overlap,no,yes,yes,6,4,9,40.26,16.9,365.0,0.002693,0.2030804390615799,0.533041666666667,0.6315,0.9709505944546688,0.4,,,,35.0,0.034,0.0,0.467,1,1,1,1,0,1
Monodon monoceros,database_unrepresented_family_mass_calibration,no,no,no,3,3,6,900000.0,50.0,2191.0,,,,,0.9709505944546688,1.0,14.0,,,,,,,,1,0,1,1,0
Montifringilla nivalis,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,36.9,,,,,,,0.7298466991620975,0.3,,,,,,,,,0,0,1,0,0
Mus musculus,asnr_source_candidate,no,no,yes,6,5,9,16.25,4.0,42.0,,,0.2889,0.271,0.8649735207179272,0.2,,,4981.53,12.0,0.53,0.781,0.12,5,1,1,1,1,1
Myiomela albiventris,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,38.46,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Myiomela major,acdb_source_candidate,no,yes,no,2,1,3,38.46,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Myiopsitta monachus,asnr_source_candidate,no,no,yes,5,4,8,120.0,22.1,730.0,,,,0.5189,0.9477309221191609,0.1,,,,20.0,0.5965,0.658,0.1475,8,1,1,1,0,1
Myotis sodalis,asnr_source_candidate,no,no,yes,4,3,8,6.91,20.0,357.0,,,,,0.0,1.0,,,,43.0,0.605,0.905,0.096,1,1,0,1,0,1
Natrix natrix,data_rich_underrepresented_clade_calibration,no,no,no,2,2,3,96.25,20.0,1460.0,0.0001,,0.025,0.0295,,,,,,,,,,,1,1,0,0,0
Nephila clavipes,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.848,,,1.615124e-07,,0.00123350849606987,,,,,,,,,,,,0,1,0,0,0
Nestor notabilis,current_deep_panel,yes,no,no,2,2,4,862.97,47.0,,,,,,0.81734542214651,0.1,,,,,,,,,1,0,1,0,0
Octopus vulgaris,current_deep_panel,yes,no,no,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Orcinus orca,current_deep_panel,yes,yes,yes,6,4,9,4300000.0,90.0,3780.0,,,,,0.946394630357186,1.0,12.0,9.0,,50.0,0.521,0.7384999999999999,0.3325,2,1,0,1,1,1
Otis tarda,acdb_source_candidate,no,yes,no,3,2,5,6759.92,28.3,1636.0,,,,,0.8609640474436813,0.6,,,,,,,,,1,0,1,0,0
Otospermophilus beecheyi,asnr_source_candidate,no,no,yes,3,2,4,599.6,,,,,1.76548888888889,,,,,,,60.5,0.29900000000000004,0.6405000000000001,0.372,4,0,1,0,0,1
Ovis aries,asnr_source_candidate,no,no,yes,5,4,9,50000.0,22.8,548.0,,,,,0.0,0.0,35.0,,,1336.0,0.018,0.0,0.082,1,1,0,1,1,1
Ovis canadensis,asnr_source_candidate,no,no,yes,6,5,9,74644.88,20.6,707.0,,,,114.674,0.0,0.0,,5.5,1.48,28.0,0.622,0.717,0.095,1,1,1,1,1,1
Pampa curvipennis,acdb_source_candidate,no,yes,no,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Pan paniscus,current_deep_panel,yes,yes,yes,6,4,10,34000.08,55.0,3194.0,,,,,0.7854752972273344,0.1,85.0,90.0,2.0,6.0,0.933,0.933,0.029,23,1,0,1,1,1
Pan troglodytes,current_deep_panel,yes,yes,yes,7,5,11,42500.0,68.0,3376.0,0.392655,0.21445810684865968,,,0.8173454221465101,0.1,50.0,45.0,1.63,67.5,0.11549999999999999,0.21,0.35,4,1,1,1,1,1
Panthera leo,asnr_source_candidate,no,no,yes,6,5,10,161499.06,28.0,1095.0,0.2595,-0.11854437973648113,,94.58,0.46899559358928117,1.0,,,0.11,13.0,0.263,0.3635,0.5405,4,1,1,1,1,1
Panthera tigris,database_unrepresented_family_mass_calibration,no,no,no,4,4,7,162564.0,26.3,1268.0,0.26973,-0.35362384011542414,,133.859,0.0,1.0,,1.0,0.03,,,,,,1,1,1,1,0
Papio anubis,asnr_source_candidate,no,no,yes,5,4,9,17728.56,,,0.16135,0.20086624997881808,,,0.9232196723355078,0.5,40.0,44.5,10.8,22.0,0.6915,0.7364999999999999,0.311,8,0,1,1,1,1
Papio cynocephalus,asnr_source_candidate,no,no,yes,5,4,9,15822.15,,,0.186,0.17343996938420791,,,0.7854752972273343,0.2,48.2,52.3,5.86,9.5,0.333,0.246,0.454,58,0,1,1,1,1
Papio papio,asnr_source_candidate,no,no,yes,4,3,7,18026.05,,,,,,,0.9138646883853215,0.3,,83.0,11.07,25.0,0.323,0.409,0.278,1,0,0,1,1,1
Papio ursinus,asnr_source_candidate,no,no,yes,4,3,8,17729.44,,,,,,,0.9138646883853214,0.3,47.0,34.3,2.77,90.5,0.158,0.266,0.241,6,0,0,1,1,1
Paraponera clavata,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.1793925,,,1.73e-06,,0.000411541214153826,,,,,,,,,,,,0,1,0,0,0
Parus leucomelas,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,16.1,,,,,,,0.8649735207179272,0.6,,,,,,,,,0,0,1,0,0
Parus major,acdb_source_candidate,no,yes,no,3,2,5,16.25,15.4,365.0,,,,,0.9138646883853215,0.5,,,,,,,,,1,0,1,0,0
Passerculus sandwichensis,acdb_source_candidate,no,yes,no,4,3,5,19.97,18.0,365.0,,,,0.221,0.9232196723355077,0.4,,,,,,,,,1,1,1,0,0
Passerina cyanea,acdb_source_candidate,no,yes,no,3,2,5,14.69,11.0,365.0,,,,,0.0,0.0,,,,,,,,,1,0,1,0,0
Periplaneta americana,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.73,,,1.95e-07,,0.001536742502585777,,,,,,,,,,,,0,1,0,0,0
Philesturnus rufusater,acdb_source_candidate,no,yes,no,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Philetairus socius,asnr_source_candidate,no,no,yes,3,2,6,27.4,,,,,,,0.8609640474436813,0.4,,,,18.0,0.262,0.693,0.467,23,0,0,1,0,1
Physeter macrocephalus,current_deep_panel,yes,yes,no,4,3,6,14025000.0,77.0,2922.0,,,,,0.0,1.0,25.0,11.0,,,,,,,1,0,1,1,0
Pipistrellus pipistrellus,acdb_source_candidate,no,yes,no,4,3,5,5.69,16.6,456.0,,,,,0.0,1.0,,3020.0,,,,,,,1,0,1,1,0
Platymantis vitiensis,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.3,,,4.93136e-06,,,,,,,,,,,,,,0,1,0,0,0
Plocepasser mahali,acdb_source_candidate,no,yes,no,2,1,3,41.47,,,,,,,1.0,0.5,,,,,,,,,0,0,1,0,0
Ploceus bicolor,acdb_source_candidate,no,yes,no,2,1,3,34.54,,,,,,,0.7854752972273343,0.6,,,,,,,,,0,0,1,0,0
Ploceus megarhynchus,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,34.31,,,,,,,0.7219280948873623,0.2,,,,,,,,,0,0,1,0,0
Poecile atricapillus,acdb_source_candidate,no,yes,no,3,2,3,10.4,12.4,180.0,,,,0.252,,,,,,,,,,,1,1,0,0,0
Poecilia reticulata,asnr_source_candidate,no,no,yes,3,2,4,,5.0,,,,,,,,,,,6.0,1.0,1.0,,9,1,0,0,0,1
Poicephalus gulielmi,database_unrepresented_family_mass_calibration,no,no,no,2,2,4,274.59,21.0,,,,,,0.9232196723355077,0.1,,,,,,,,,1,0,1,0,0
Pongo abelii,current_deep_panel,yes,yes,no,2,1,3,39696.12,,,,,,,0.5816718657178868,0.2,,,,,,,,,0,0,1,0,0
Pongo pygmaeus,current_deep_panel,yes,yes,no,5,4,8,37000.0,59.0,2555.0,0.34199,0.13220464068036497,,,0.5816718657178868,0.2,1.0,1.0,2.0,,,,,,1,1,1,1,0
Porcellio laevis,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.01604,,,,,0.00029141111111111097,,,,,,,,,,,,0,1,0,0,0
Portia fimbriata,theory_discriminating_candidate,no,no,no,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Procyon cancrivorus,database_unrepresented_family_mass_calibration,no,no,no,4,4,6,6949.92,19.0,365.0,,,,2.588,0.8445412464587144,0.8,,,5.74,,,,,,1,1,1,1,0
Procyon lotor,asnr_source_candidate,no,no,yes,6,5,10,5524.97,21.0,365.0,0.04025,-0.075356435188763,,10.428,0.9609640474436812,0.6,,,3.29,16.0,0.291,0.5215000000000001,0.5405,52,1,1,1,1,1
Psittacus erithacus,current_deep_panel,yes,no,no,2,2,4,333.0,49.7,,,,,,1.0,0.0,,,,,,,,,1,0,1,0,0
Ptilonorhynchus violaceus,theory_discriminating_candidate,no,no,no,3,3,6,218.91,25.1,1726.0,0.00488992,0.024933556624164854,,,0.881353453268883,0.4,,,,,,,,,1,1,1,0,0
Pygathrix nigripes,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,10333.32,,,,,,,0.8812908992306927,0.0,,,,,,,,,0,0,1,0,0
Quiscalus lugubris,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,63.03,,,,,,,0.9709505944546688,0.6,,,,,,,,,0,0,1,0,0
Rattus norvegicus,theory_discriminating_candidate,no,no,no,3,3,6,338.33,3.8,90.0,0.0048000000000000004,-0.13027168470724115,,1.404,0.9232196723355078,0.3,,,,,,,,,1,1,1,0,0
Rattus rattus,acdb_source_candidate,no,yes,no,5,4,6,229.13,4.2,90.0,,,,0.77,0.9232196723355078,0.3,,,2640.54,,,,,,1,1,1,1,0
Rhinolophus monoceros,acdb_source_candidate,no,yes,no,2,1,3,10.62,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Rhinolophus osgoodi,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,10.62,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Rhinolophus pumilus,acdb_source_candidate,no,yes,no,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Rhizothera longirostris,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,746.72,,,,,,,0.9854752972273345,0.2,,,,,,,,,0,0,1,0,0
Rhynchophorus ferrugineus,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,23.0,0.15,0.0,0.487,3,0,0,0,0,1
Saccopteryx bilineata,theory_discriminating_candidate,no,no,no,3,3,6,7.8,6.0,365.0,0.00022,-0.42113361129204874,,0.081,0.0,1.0,,,,,,,,,1,1,1,0,0
Saguinus fuscicollis,asnr_source_candidate,no,no,yes,4,3,8,387.0,,,,,,,0.9911594714322187,0.4,6.0,,19.49,7.0,0.952,0.952,,1,0,0,1,1,1
Saguinus mystax,asnr_source_candidate,no,no,yes,5,4,10,618.0,20.0,486.0,,,,,0.9911594714322187,0.4,5.4,,30.98,6.0,1.0,1.0,,1,1,0,1,1,1
Saguinus oedipus,asnr_source_candidate,no,no,yes,6,5,11,430.0,26.2,548.0,0.00964,0.07386910592233376,,,0.9911594714322187,0.4,7.05,,45.52,10.5,0.499,0.688,0.20500000000000002,4,1,1,1,1,1
Saimiri oerstedii,asnr_source_candidate,no,no,yes,5,4,9,278.5,,,0.025,0.339684864447076,,,1.0000000000000002,0.4,25.1,25.0,128.8,18.0,0.131,0.0,0.53,1,0,1,1,1,1
Sapajus apella,asnr_source_candidate,no,no,yes,3,2,6,2642.5,46.0,1703.0,,,,,,,,,,12.0,0.652,0.69,0.18,1,1,0,0,0,1
Sapajus libidinosus,current_deep_panel,yes,yes,no,2,1,2,2582.5,,,0.0771,0.3957509616562056,,,,,,,,,,,,,0,1,0,0,0
Sarcophilus harrisii,asnr_source_candidate,no,no,yes,6,5,10,10000.0,13.0,730.0,0.01666924,-0.5854348933215727,,8.664,0.0,1.0,,,5.9,22.0,0.11699999999999999,0.21000000000000002,0.608,12,1,1,1,1,1
Sepia apama,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,53.0,0.018,0.0,0.394,1,0,0,0,0,1
Serracutisoma proximum,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,118.0,0.017,0.0,0.664,1,0,0,0,0,1
Smicrornis brevirostris,database_unrepresented_family_mass_calibration,no,no,no,3,3,5,5.3,7.4,,0.00030044,-0.06749507791375331,0.163333333333333,,0.7219280948873623,0.8,,,,,,,,,1,1,1,0,0
Sotalia guianensis,acdb_source_candidate,no,yes,no,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sousa sahulensis,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,50.0,0.776,0.887,0.317,1,0,0,0,0,1
Stegodyphus dumicola,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,16.0,0.825,0.89,0.037,1,0,0,0,0,1
Suricata suricatta,current_deep_panel,yes,no,no,3,3,5,725.5,20.6,365.0,,,,1.729,0.7298466991620974,0.9,,,,,,,,,1,1,1,0,0
Taeniopygia guttata,theory_discriminating_candidate,no,no,no,3,3,6,12.04,12.0,60.0,0.00045584,-0.11292245116206834,0.213333333333333,,0.0,0.0,,,,,,,,,1,1,1,0,0
Thamnophis butleri,asnr_source_candidate,no,no,yes,4,3,6,125.0,14.0,730.0,,,0.00625146666666667,,,,,,,3021.5,0.0025,0.596,0.9005000000000001,4,1,1,0,0,1
Thryothorus eisenmanni,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,23.1,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Tiliqua rugosa,asnr_source_candidate,no,no,yes,3,2,4,548.0,,,,,0.218579234972678,,,,,,,60.0,0.18,0.566,0.628,1,0,1,0,0,1
Trachypithecus johnii,asnr_source_candidate,no,no,yes,4,3,8,11921.0,,,,,,,0.8812908992306927,0.0,10.0,,71.0,10.0,0.289,0.0,0.29,1,0,0,1,1,1
Tragelaphus eurycerus,database_unrepresented_family_mass_calibration,no,no,no,4,4,8,329003.11,22.0,806.0,0.389,-0.2724782311057268,,,0.0,0.0,13.5,,0.4,,,,,,1,1,1,1,0
Trichoniscus pusillus,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.0013,,,,,3e-06,,,,,,,,,,,,0,1,0,0,0
Trichosurus cunninghami,asnr_source_candidate,no,no,yes,3,2,6,2293.08,,,,,,,0.0,0.0,,,,15.0,0.124,0.2,0.128,1,0,0,1,0,1
Trichosurus johnstonii,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,2293.08,,,,,,,0.7219280948873623,0.0,,,,,,,,,0,0,1,0,0
Tursiops aduncus,current_deep_panel,yes,yes,no,3,2,3,175000.0,,,,,,,0.7219280948873623,1.0,,64.0,,,,,,,0,0,1,1,0
Tursiops truncatus,current_deep_panel,yes,yes,yes,6,4,10,175000.0,51.6,2831.0,,,,,0.7219280948873623,1.0,10.0,7.0,0.2,188.0,0.075,0.682,0.565,5,1,0,1,1,1
Ursus americanus,asnr_source_candidate,no,no,yes,5,4,9,99949.36,34.0,1278.0,,,,,0.8427376486136672,0.2,,,0.72,7.0,0.238,0.0,0.467,1,1,0,1,1,1
Zalophus californianus,asnr_source_candidate,no,no,yes,6,5,9,80000.0,35.7,1095.0,0.405,,,,0.9709505944546688,1.0,,,0.5,1007.0,0.261,0.659,0.517,1,1,1,1,1,1
Zalophus japonicus,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,80000.0,,,,,,,0.9709505944546688,1.0,,,,,,,,,0,0,1,0,0
Zonotrichia atricapilla,asnr_source_candidate,no,no,yes,4,3,8,31.99,10.5,365.0,,,,,0.8173454221465101,0.1,,,,35.5,0.4225,0.7264999999999999,0.4165,4,1,0,1,0,1
Zonotrichia capensis,acdb_source_candidate,no,yes,no,2,1,3,20.31,,,,,,,0.9372305632161295,0.3,,,,,,,,,0,0,1,0,0
Zonotrichia leucophrys,acdb_source_candidate,no,yes,no,4,3,5,28.0,13.3,365.0,,,,0.336,0.6783898247235197,0.1,,,,,,,,,1,1,1,0,0
Zosis geniculata,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.029650000000000003,,,,,4.9444444444444446e-05,,,,,,,,,,,,0,1,0,0,0
