scientific_name,pool_role,current_panel,acdb,asnr,source_feasibility,biological_proxy_blocks,geometry_dimensions,body_mass_g_best,max_longevity_yrs,female_maturity_days,at_brain_kg,relative_brain_resid_class,at_metabolic_w,metabolic_rate_w_anage,diet_entropy,animal_diet_fraction,social_group_size,population_group_size,population_density_km2,network_nodes,network_density,network_clustering,network_qrel,asnr_network_count,G_life_history_proxy,H_neural_energy_proxy,I_ecology_proxy,J_demography_proxy,F_network_proxy
Camponotus sericeiventris,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,0.038794999999999996,,,4.4e-07,,7.31054231800491e-05,,,,,,,,,,,,0,1,0,0,0
Campylorhynchus nuchalis,acdb_source_candidate,no,yes,no,2,1,3,23.2,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Canis familiaris,asnr_source_candidate,no,no,yes,4,3,7,40000.0,27.0,510.0,0.086115,-0.18997198837277762,,,,,,,,17.0,0.096,0.0,0.467,3,1,1,0,0,1
Canis lupus,theory_discriminating_candidate,no,no,no,4,4,7,32183.33,20.6,669.0,0.119,-0.06555284910484793,,,0.0,1.0,,,0.01,,,,,,1,1,1,1,0
Carpodacus erythrinus,database_unrepresented_family_mass_calibration,no,no,no,3,3,5,23.97,9.0,365.0,,,,0.358,0.9349775297671233,0.1,,,,,,,,,1,1,1,0,0
Castor canadensis,theory_discriminating_candidate,no,no,no,4,4,8,21820.0,23.4,639.0,0.0275,-0.24985901351291817,,,0.0,0.0,5.1,,0.6,,,,,,1,1,1,1,0
Cebus capucinus,acdb_source_candidate,no,yes,no,5,4,8,2733.32,54.0,1505.0,0.0716,0.3483156615246987,,,0.9756149631508356,0.3,18.15,,27.27,,,,,,1,1,1,1,0
Cebus imitator,acdb_source_candidate,no,yes,no,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cercopithecus campbelli,asnr_source_candidate,no,no,yes,5,4,9,4099.96,30.0,1095.0,,,,,0.8445412464587144,0.3,11.0,,,15.0,0.562,0.664,0.135,1,1,0,1,1,1
Cervus canadensis,acdb_source_candidate,no,yes,no,2,1,2,200000.0,,,0.4093,-0.18008313725251218,,,,,,,,,,,,,0,1,0,0,0
Chelydra serpentina,data_rich_underrepresented_clade_calibration,no,no,no,2,2,3,10250.0,47.0,3285.0,0.00098,,0.188985635702953,,,,,,,,,,,,1,1,0,0,0
Chen rossii,database_unrepresented_family_mass_calibration,no,no,no,2,2,5,1635.99,22.5,570.0,,,,,0.0,0.0,,,,,,,,,1,0,1,0,0
Chersophilus duponti,acdb_source_candidate,no,yes,no,2,1,3,39.4,,,,,,,1.0,0.5,,,,,,,,,0,0,1,0,0
Chlamydera maculata,acdb_source_candidate,no,yes,no,2,1,3,139.99,,,,,,,0.9854752972273345,0.3,,,,,,,,,0,0,1,0,0
Cinnyris osea,acdb_source_candidate,no,yes,no,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Colobus guereza,asnr_source_candidate,no,no,yes,6,5,11,10600.0,35.0,1461.0,0.0839,0.01927462689879067,,17.037,0.8812908992306927,0.0,7.6,7.0,99.2,8.0,0.643,0.588,0.221,1,1,1,1,1,1
Columba livia,current_deep_panel,yes,no,no,3,3,6,354.2,35.0,140.0,0.0024895000000000004,-0.3600490997244261,,,0.8173454221465101,0.1,,,,,,,,,1,1,1,0,0
Columba vitiensis,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,353.0,,,,,,,0.9232196723355078,0.1,,,,,,,,,0,0,1,0,0
Corvus brachyrhynchos,acdb_source_candidate,no,yes,no,4,3,6,448.76,20.0,730.0,0.0093,0.13553277487614368,,,0.969570350190125,0.7,,,,,,,,,1,1,1,0,0
Corvus corax,current_deep_panel,yes,yes,no,4,3,5,927.97,69.0,1095.0,,,4.59869583333333,5.5656,0.9739760316291207,0.7,,,,,,,,,1,1,1,0,0
Corvus frugilegus,database_unrepresented_family_mass_calibration,no,no,no,3,3,5,452.1,23.8,730.0,,,,2.6433,0.8813534532688829,0.6,,,,,,,,,1,1,1,0,0
Corvus moneduloides,current_deep_panel,yes,yes,no,3,2,4,277.38,,,0.0063,0.030838826025194166,,,0.9756149631508356,0.4,,,,,,,,,0,1,1,0,0
Crocuta crocuta,asnr_source_candidate,no,no,yes,6,5,10,66492.06,41.1,1095.0,0.175,-0.2006009493342622,,,0.0,1.0,,,0.12,35.0,0.876,0.922,0.062,3,1,1,1,1,1
Cryptoprocta ferox,asnr_source_candidate,no,no,yes,6,5,10,9500.0,23.1,1496.0,0.03678,-0.31524011537911334,,,0.7298466991620975,1.0,,1.0,0.88,14.0,0.165,0.0,0.599,1,1,1,1,1,1
Ctenomys australis,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,361.5,,,,,,,0.0,0.0,,,,,,,,,0,0,1,0,0
Ctenomys opimus,asnr_source_candidate,no,no,yes,4,3,7,361.5,,,,,,,0.0,0.0,,,233.87,32.0,0.16849999999999998,0.6455,0.593,4,0,0,1,1,1
Ctenophorus nuchalis,data_rich_underrepresented_clade_calibration,no,no,no,1,1,1,30.245,,,0.000148007104,,0.0130672385357747,,,,,,,,,,,,0,1,0,0,0
Cyanistes caeruleus,acdb_source_candidate,no,yes,no,2,1,3,10.3,14.6,365.0,,,,,,,,,,,,,,,1,0,0,0,0
Dasyurus maculatus,database_unrepresented_family_mass_calibration,no,no,no,4,4,7,5500.0,6.8,340.0,0.00974876,-0.5042587627666109,,3.142,0.81734542214651,1.0,,1.0,3.49,,,,,,1,1,1,1,0
Delichon dasypus,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,18.0,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Delphinapterus leucas,acdb_source_candidate,no,yes,no,4,3,6,1360000.0,40.0,1644.0,,,,,0.9709505944546688,1.0,10.0,,,,,,,,1,0,1,1,0
Dendrobates pumilio,asnr_source_candidate,no,no,yes,3,2,4,,7.5,,,,,,,,,,,20.0,0.079,0.0,0.6,1,1,0,0,0,1
Desmodillus auricularis,database_unrepresented_family_mass_calibration,no,no,no,4,4,5,53.3,6.1,,,,,0.49,0.8812908992306927,0.3,,,1265.76,,,,,,1,1,1,1,0
Desmodus rotundus,asnr_source_candidate,no,no,yes,6,5,9,31.21,29.2,285.0,0.000936,-0.16694389639622287,,0.194,0.0,1.0,,31.5,,21.0,0.343,0.548,0.224,1,1,1,1,1,1
