scenario,sampling,true_model,selected_model,count,reps
pilot9_plus_F_complete,fixed_mask_random_latent,additive,threshold,23,400
pilot9_plus_F_complete,fixed_mask_random_latent,weakest,additive,173,400
pilot9_plus_F_complete,fixed_mask_random_latent,threshold,weakest,30,400
pilot9_plus_F_complete,fixed_mask_random_latent,additive,weakest,4,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,additive,additive,393,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,weakest,weakest,261,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,threshold,additive,238,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,threshold,threshold,149,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,additive,weakest,7,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,threshold,weakest,13,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,weakest,additive,138,400
pilot9_plus_ABE_complete,fixed_mask_random_latent,weakest,threshold,1,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,additive,additive,389,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,weakest,additive,167,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,threshold,additive,238,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,threshold,threshold,142,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,weakest,weakest,227,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,threshold,weakest,20,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,additive,weakest,3,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,weakest,threshold,6,400
pilot9_plus_CDF_complete,fixed_mask_random_latent,additive,threshold,8,400
tier1_new50_AF_complete,fixed_mask_random_latent,additive,additive,398,400
tier1_new50_AF_complete,fixed_mask_random_latent,weakest,weakest,206,400
tier1_new50_AF_complete,fixed_mask_random_latent,threshold,threshold,141,400
tier1_new50_AF_complete,fixed_mask_random_latent,weakest,additive,193,400
tier1_new50_AF_complete,fixed_mask_random_latent,threshold,additive,240,400
tier1_new50_AF_complete,fixed_mask_random_latent,additive,weakest,2,400
tier1_new50_AF_complete,fixed_mask_random_latent,threshold,weakest,19,400
tier1_new50_AF_complete,fixed_mask_random_latent,weakest,threshold,1,400
tier1_all79_AF_complete,fixed_mask_random_latent,additive,additive,400,400
tier1_all79_AF_complete,fixed_mask_random_latent,weakest,additive,100,400
tier1_all79_AF_complete,fixed_mask_random_latent,threshold,threshold,211,400
tier1_all79_AF_complete,fixed_mask_random_latent,weakest,weakest,300,400
tier1_all79_AF_complete,fixed_mask_random_latent,threshold,additive,179,400
tier1_all79_AF_complete,fixed_mask_random_latent,threshold,weakest,10,400
tier1_AF_plus_G,fixed_mask_random_latent,additive,additive,399,400
tier1_AF_plus_G,fixed_mask_random_latent,weakest,weakest,288,400
tier1_AF_plus_G,fixed_mask_random_latent,threshold,threshold,228,400
tier1_AF_plus_G,fixed_mask_random_latent,threshold,additive,167,400
tier1_AF_plus_G,fixed_mask_random_latent,weakest,additive,110,400
tier1_AF_plus_G,fixed_mask_random_latent,threshold,weakest,5,400
tier1_AF_plus_G,fixed_mask_random_latent,weakest,threshold,2,400
tier1_AF_plus_G,fixed_mask_random_latent,additive,weakest,1,400
tier1_AF_plus_H,fixed_mask_random_latent,additive,additive,399,400
tier1_AF_plus_H,fixed_mask_random_latent,weakest,weakest,286,400
tier1_AF_plus_H,fixed_mask_random_latent,threshold,threshold,221,400
tier1_AF_plus_H,fixed_mask_random_latent,threshold,additive,168,400
tier1_AF_plus_H,fixed_mask_random_latent,weakest,additive,113,400
tier1_AF_plus_H,fixed_mask_random_latent,threshold,weakest,11,400
tier1_AF_plus_H,fixed_mask_random_latent,weakest,threshold,1,400
tier1_AF_plus_H,fixed_mask_random_latent,additive,weakest,1,400
tier1_AF_plus_I,fixed_mask_random_latent,additive,additive,400,400
tier1_AF_plus_I,fixed_mask_random_latent,weakest,weakest,292,400
tier1_AF_plus_I,fixed_mask_random_latent,threshold,threshold,234,400
tier1_AF_plus_I,fixed_mask_random_latent,weakest,additive,107,400
tier1_AF_plus_I,fixed_mask_random_latent,threshold,additive,161,400
tier1_AF_plus_I,fixed_mask_random_latent,threshold,weakest,5,400
tier1_AF_plus_I,fixed_mask_random_latent,weakest,threshold,1,400
tier1_AF_plus_J,fixed_mask_random_latent,additive,additive,400,400
tier1_AF_plus_J,fixed_mask_random_latent,weakest,weakest,324,400
tier1_AF_plus_J,fixed_mask_random_latent,threshold,threshold,238,400
tier1_AF_plus_J,fixed_mask_random_latent,weakest,additive,76,400
tier1_AF_plus_J,fixed_mask_random_latent,threshold,additive,148,400
tier1_AF_plus_J,fixed_mask_random_latent,threshold,weakest,14,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,additive,additive,400,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,weakest,weakest,326,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,threshold,threshold,285,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,weakest,additive,73,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,threshold,additive,111,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,weakest,threshold,1,400
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,threshold,weakest,4,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,additive,additive,399,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,weakest,weakest,328,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,threshold,threshold,274,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,weakest,additive,72,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,threshold,additive,118,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,threshold,weakest,8,400
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,additive,weakest,1,400
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,additive,additive,400,400
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,weakest,weakest,315,400
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,threshold,threshold,277,400
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,weakest,additive,85,400
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,threshold,additive,118,400
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,threshold,weakest,5,400
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,additive,additive,400,400
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,weakest,weakest,310,400
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,threshold,threshold,283,400
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,threshold,additive,111,400
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,weakest,additive,90,400
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,threshold,weakest,6,400
tier1_complete79,fixed_mask_random_latent,additive,additive,400,400
tier1_complete79,fixed_mask_random_latent,weakest,weakest,332,400
tier1_complete79,fixed_mask_random_latent,threshold,threshold,309,400
tier1_complete79,fixed_mask_random_latent,threshold,additive,87,400
tier1_complete79,fixed_mask_random_latent,weakest,additive,68,400
tier1_complete79,fixed_mask_random_latent,threshold,weakest,4,400
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,additive,additive,100,100
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,weakest,weakest,100,100
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,threshold,additive,11,100
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,threshold,threshold,89,100
