left_out_concept_id,estimate_log_scale,std_error,multiplicative_effect
D01,0.1324770559178645,0.0428727770819921,1.1416528216125723
D02,0.1299367585625109,0.0422292672872092,1.1387563644579193
D03,0.1305724285460327,0.0423977836712555,1.1394804678183523
D04,0.1301642175029207,0.0423053364818578,1.1390154142344409
D05,0.1306961136818617,0.0422575723010098,1.1396214133310418
D06,0.116507442611145,0.0750045463028233,1.123565872699972
D07,0.139963704760504,0.0420019810811516,1.150232050151856
D08,0.1408803802721405,0.0438830897138932,1.1512869231191711
D09,0.1170128191701555,0.0416121611704529,1.1241338400611456
D10,0.1303798305617355,0.0429408268688413,1.1392610273096828
D11,0.1288865225112547,0.0423088979661278,1.1375610292722915
D12,0.1317564724901684,0.0414966616705261,1.1408304618341334
D13,0.1305638709446779,0.0423126855179211,1.1394707166404807
D14,0.1284449047582606,0.0438636125475695,1.1370587730374484
D15,0.1309884434090639,0.0429125656617929,1.1399546072467852
D16,0.1309661001801109,0.0422655383089879,1.1399291372645413
D17,0.123685117710322,0.0440177414734348,1.1316594753640448
D18,0.1108235519792794,0.0345872744356385,1.1171977621281903
D19,0.1324345814611976,0.0421355164061907,1.1416043315590738
D20,0.1815155048587636,0.0500867613818073,1.1990331274048838
D21,0.1167802562480379,0.0388621471908132,1.1238724386077708
