left_out_concept_id,estimate_log_scale,std_error,multiplicative_effect
D01,0.3082002697881777,0.1731000600402465,1.360973523525289
D02,0.3109183983212286,0.1748245883863002,1.3646778566383724
D03,0.3044769047937468,0.1753771238226538,1.355915544543806
D04,0.3104638935844472,0.1746006723156106,1.3640577450208582
D05,0.3091933332339699,0.1745805267811319,1.3623257278834269
D06,0.5791589013687921,0.1853352882756926,1.784536827857279
D07,0.3179044802147724,0.1897702831248204,1.374244987371992
D08,0.3191134243342934,0.1822584129881233,1.37590737743413
D09,0.2692047769556031,0.1509207949990487,1.308923150902369
D10,0.3086785125951069,0.1709097708443547,1.3616245549864845
D11,0.2973302225910598,0.1691021495302815,1.3462597914499803
D12,0.3087321036151456,0.1729840719950837,1.3616975277906218
D13,0.3107621968729275,0.174704468852087,1.3644647086281485
D14,0.2928734629050417,0.1608683997547504,1.3402731854259111
D15,0.3101261113069048,0.1739484635675086,1.3635970682976422
D16,0.2782972556714236,0.1720730192083291,1.3208787775657305
D17,0.3149258534113741,0.1824990673202031,1.3701577146701118
D18,0.2838601940025463,0.1765933186299051,1.3282472208438425
D19,0.3317836849764587,0.1921045294141578,1.3934513914383024
D20,0.3893815924064369,0.271086440098832,1.4760677001053208
D21,0.2242859653329779,0.1562119216477593,1.251428833527788
