Timepoint,Environment,PCD,Species,Statistics,Sex,Reference
Female Sexual maturity is reached (sex selective),Captive,354,Felis,2,Female,"https://genomics.senescence.info/species/dataset.zip; AnAge Build 15; de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908."
Female Sexual maturity is reached (sex selective),Captive client,404,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,404,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,296,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,455,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,377,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,332,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,395,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,347,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,353,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
