Timepoint,Environment,PCD,Species,Statistics,Sex,Reference
Canine maxilla eruption,Captive laboratory,205,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Captive laboratory,187,Felis,3,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Captive laboratory,196,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Captive laboratory,180,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Captive laboratory,172,Felis,1,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Captive laboratory,176,Felis,1,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Captive laboratory,197,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Captive laboratory,176,Felis,3,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Captive laboratory,186.5,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Captive laboratory,197,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Captive laboratory,172,Felis,1,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Captive laboratory,184.5,Felis,1,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Captive laboratory,229,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Captive laboratory,201,Felis,3,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Captive laboratory,215,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Captive laboratory,183,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Captive laboratory,168,Felis,1,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Captive laboratory,175.5,Felis,1,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Captive laboratory,210,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Captive laboratory,187,Felis,3,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Captive laboratory,198.5,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,204,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,220.5,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,195,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Wild,192,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,209,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,198,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,197,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,214,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,198.5,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Wild,197,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,218,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,194,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Wild,177,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,207.5,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,186.5,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,187,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,197.5,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,186,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,185,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,194,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,200,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,185,Felis,1,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,194,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,189.5,Felis,1,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,213,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine maxilla eruption,Wild,200,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Wild,177,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Canine mandible eruption,Wild,209,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,207.5,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,194,Felis,1,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,200.75,Felis,1,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,199.5,Felis,3,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine maxilla exfoliation,Wild,214.25,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,186.5,Felis,1,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,186,Felis,1,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,186.25,Felis,1,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,213,Felis,3,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,200,Felis,3,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Deciduous canine mandible exfoliation,Wild,206.5,Felis,3,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Eye opening,Wild,70,Felis,3,Male+Female,"Schauenberg P. Éléments d'écologie du chat forestier d'Europe Pelis silvestris Schreber, 1777. Revue d'écologie. 1981;35(1):3-6."
Eye opening,Wild,66,Felis,1,Male+Female,"Schauenberg P. Éléments d'écologie du chat forestier d'Europe Pelis silvestris Schreber, 1777. Revue d'écologie. 1981;35(1):3-6."
Eye opening (Onset),Wild,70,Felis,2,Male+Female,"Schauenberg P. Éléments d'écologie du chat forestier d'Europe Pelis silvestris Schreber, 1777. Revue d'écologie. 1981;35(1):3-6."
Deciduous teeth eruption (Offset),Wild,109.5,Felis,2,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Permanent teeth eruption (Offset),Unkown,256.5,Felis,2,Male,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Permanent teeth eruption (Offset),Unkown,241.5,Felis,2,Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Permanent teeth eruption (Offset),Unkown,249,Felis,2,Male+Female,"Condé B, Schauenberg P. Remplacement des canines chez le chat forestier Felis silvestris Schreb."
Eye opening (Offset),Captive,75,Felis,2,Male,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Eats solid food (Onset),Captive,100,Felis,2,Male,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Reported Gestation,Captive,65,Felis,2,Male,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Eye opening (Offset),Captive,73,Felis,1,Male+Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Eye opening (Offset),Captive,74,Felis,2,Male+Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Eye opening (Offset),Captive,75,Felis,3,Male+Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Eats solid food (Onset),Captive,99,Felis,2,Male+Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Permanent teeth eruption (Offset),Captive,199,Felis,2,Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Permanent teeth eruption (Offset),Captive,231,Felis,2,Male,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Female Sexual maturity is reached (sex selective),Captive,341,Felis,2,Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Female First reproduction (sex selective),Captive,401,Felis,2,Female,"Tonkin BA, Kohler E. Observations on the Indian desert cat in captivity. International zoo yearbook. 1981 Jan;21(1):151-4."
Reported Gestation,Captive,68,Felis,2,Male+Female,"Tetley H. On the Scottish wild cat. InProceedings of the Zoological Society of London 1941 Oct (Vol. 111, No. 1‐2, pp. 13-23). Oxford, UK: Blackwell Publishing Ltd."
Female Body growth rate (Peak) (sex selective),,4479.6,Homo sapiens,2,Female,"Walker, R., Hill, K., Burger, O., & Hurtado, A. M. (2006). Life in the slow lane revisited: Ontogenetic separation between chimpanzees and humans. American Journal of Physical Anthropology: The Official Publication of the American Association of Physical Anthropologists, 129(4), 577-583."
Female Body weight reaches 100% of stable value (sex selective),,7471.26,Homo sapiens,2,Female,https://www.cdc.gov/nchs/data/ad/ad347.pdf
Female Body weight reaches 50% of stable value (sex selective),,3693.5,Homo sapiens,2,Female,https://www.cdc.gov/nchs/data/ad/ad347.pdf
Female Body weight reaches 60% of stable value (sex selective),,4449.05,Homo sapiens,2,Female,https://www.cdc.gov/nchs/data/ad/ad347.pdf
Female Body weight reaches 70% of stable value (sex selective),,5204.6,Homo sapiens,2,Female,https://www.cdc.gov/nchs/data/ad/ad347.pdf
Female Body weight reaches 80% of stable value (sex selective),,5960.15,Homo sapiens,2,Female,https://www.cdc.gov/nchs/data/ad/ad347.pdf
Female Body weight reaches 90% of stable value (sex selective),,6715.7,Homo sapiens,2,Female,https://www.cdc.gov/nchs/data/ad/ad347.pdf
Female First reproduction (sex selective),,5380,Homo sapiens,1,Female,"Allal N, Sear R, Prentice AM, Mace R. An evolutionary model of stature, age at first birth and reproductive success in Gambian women. Proceedings of the Royal Society of London. Series B: Biological Sciences. 2004 Mar 7;271(1538):465-70."
Female First reproduction (sex selective),,13045,Homo sapiens,3,Female,"Allal N, Sear R, Prentice AM, Mace R. An evolutionary model of stature, age at first birth and reproductive success in Gambian women. Proceedings of the Royal Society of London. Series B: Biological Sciences. 2004 Mar 7;271(1538):465-70."
Female First reproduction (sex selective),,9212.5,Homo sapiens,2,Female,"Allal N, Sear R, Prentice AM, Mace R. An evolutionary model of stature, age at first birth and reproductive success in Gambian women. Proceedings of the Royal Society of London. Series B: Biological Sciences. 2004 Mar 7;271(1538):465-70."
Female First reproduction (sex selective),,7205,Homo sapiens,2,Female,"Chusyd DE, Ackermans NL, Austad SN, Hof PR, Mielke MM, Sherwood CC, Allison DB. Aging: What We Can Learn From Elephants. Front Aging. 2021 Aug 26;2:726714. doi: 10.3389/fragi.2021."
Female First reproduction (sex selective),,5380,Homo sapiens,1,Female,"Chusyd DE, Ackermans NL, Austad SN, Hof PR, Mielke MM, Sherwood CC, Allison DB. Aging: What We Can Learn From Elephants. Front Aging. 2021 Aug 26;2:726714. doi: 10.3389/fragi.2021."
Female First reproduction (sex selective),,7752.5,Homo sapiens,2,Female,"Chusyd DE, Ackermans NL, Austad SN, Hof PR, Mielke MM, Sherwood CC, Allison DB. Aging: What We Can Learn From Elephants. Front Aging. 2021 Aug 26;2:726714. doi: 10.3389/fragi.2021."
Female First reproduction (sex selective),,10125,Homo sapiens,3,Female,"Chusyd DE, Ackermans NL, Austad SN, Hof PR, Mielke MM, Sherwood CC, Allison DB. Aging: What We Can Learn From Elephants. Front Aging. 2021 Aug 26;2:726714. doi: 10.3389/fragi.2021."
Female First reproduction (sex selective),Captive+Wild,5562.5,Homo sapiens,2,Female,"https://esapubs.org/archive/ecol/E090/184/PanTHERIA_1-0_WR05_Aug2008.txt; Jones, K. E., Bielby, J., Cardillo, M., Fritz, S. A., O'Dell, J., Orme, C. D. L., Safi, K., Sechrest, W., Boakes, E. H., Carbone, C., Connolly, C., Cutts, M. J., Foster, J. K., Grenyer, R., Habib, M., Plaster, C. A., Price, S. A., Rigby, E. A., Rist, J., . . . Michener, W. K. (2009). PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology, 90(9), 2648-2648. https://doi.org/10.1890/08-1494.1"
Female First reproduction (sex selective),,7752.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8154,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8008,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7643,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8227,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8482.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8081,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7935,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7825.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8446,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7862,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8117.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7898.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8044.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7971.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8300,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7679.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8190.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8336.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,7789,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9504.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9176,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8592,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9614,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9322,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8519,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9723.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8774.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9066.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8957,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8555.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10198,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9395,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9650.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9358.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9577.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8847.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9431.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8993.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9030,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8884,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8665,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9796.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10417,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9103,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9212.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10015.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10161.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9906,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9139.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8701.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9285.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8920.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,9869.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,8738,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10344,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10453.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10271,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10490,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10709,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female First reproduction (sex selective),,10745.5,Homo sapiens,2,Female,"Mathews TJ, Hamilton BE. Mean Age of Mother, 1970–2000. National Vital Statistics Reports. 2002 Dec 11;51(1)."
Female Sexual maturity is reached (sex selective),,5150.1,Homo sapiens,2,Female,"Charvet, C. J., Ofori, K., Falcone, C., & Rigby Dames, B. A. (2023). Transcription, structure, and organoids translate time across the lifespan of humans and great apes. PNAS Nexus, 2(8), pgad230. https://doi.org/10.1093/pnasnexus/pgad230; Supplementary tables"
Female Reproduction (Peak) (sex selective),,10300.2,Homo sapiens,2,Female,https://unstats.un.org/unsd/demographic-social/products/dyb/dyb_2019/
