iso3c,profile_slope_srca_on_ikes,profile_spearman,mapped_fractional_output,colonizer,cumulative_colony_years_ruled,distinct_colonies,peak_simultaneous_colonies
BEL,0.03869945108719294,-0.011714966937725276,41596.14656640278,Belgium,157,3,3
GBR,0.07965185922682957,0.11584800638417218,253430.4000419778,United Kingdom,6929,68,57
FRA,-0.06756203531729175,-0.21672688834791762,209528.84187736033,France,2523,33,26
DEU,-0.13858452131823407,-0.33517822071825093,254741.64238254578,Germany,333,12,12
NLD,0.08284263020767911,0.0286365858477729,63002.96867058879,Netherlands,1039,4,4
PRT,0.12215959116458469,0.22063187732715936,41890.20899418095,Portugal,2834,12,8
ESP,0.04755294593454892,0.1418812662457839,150307.9528295797,Spain,6756,26,23
ITA,-0.12553180357192287,-0.2668409135815202,136816.07307861303,Italy,115,3,3
