person_id,canonical_name,wikidata_qid,birth_year,death_year,gender,level1_main_occ,level2_main_occ,level3_main_occ,region,candidate_visibility,candidate_frame_group,pilot_stratum,candidate_frame_source,candidate_frame_record_id,orcid,openalex_author_id
cv_Q40700285,Paul J. Torpey,Q40700285,1937,2019,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,15.486401,grA,1925_1949|v_q1,Laouenan2022_cross_verified,Q40700285,,
cv_Q1459755,Friedrich Hoeth,Q1459755,1931,1981,Male,Discovery/Science,Academia,academic,Europe,16.486326,grB,1925_1949|v_q2,Laouenan2022_cross_verified,Q1459755,,
cv_Q1621300,Konrad Oberhuber,Q1621300,1935,2007,Male,Discovery/Science,Academia,art_historian,Europe,20.176495,grB,1925_1949|v_q3,Laouenan2022_cross_verified,Q1621300,,
cv_Q722933,Petro Balabuyev,Q722933,1931,2007,Male,Discovery/Science,Academia,academic,Europe,22.626415,grA,1925_1949|v_q4,Laouenan2022_cross_verified,Q722933,,
cv_Q43568051,Michael J. Wargo,Q43568051,1951,2013,Male,Discovery/Science,Academia,scientist,America,13.425415,grB,1950plus|v_q1,Laouenan2022_cross_verified,Q43568051,,
cv_Q15488589,Ulrike Toellner-Bauer,Q15488589,1959,2012,Female,Discovery/Science,Academia,academic,Europe,16.726936,grB,1950plus|v_q2,Laouenan2022_cross_verified,Q15488589,,
cv_Q7804355,Tim Stryker,Q7804355,1954,1996,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,18.949972,grA,1950plus|v_q3,Laouenan2022_cross_verified,Q7804355,,
cv_Q1839062,Torkel Franzén,Q1839062,1950,2006,Male,Discovery/Science,Academia,mathematician,Europe,21.349077,grA,1950plus|v_q4,Laouenan2022_cross_verified,Q1839062,,
cv_Q39143467,Emily Jean Crimson Thatcher,Q39143467,1868,1960,Female,Discovery/Science,Academia,teacher,,13.783558,grA,pre1875|v_q1,Laouenan2022_cross_verified,Q39143467,,
cv_Q1580139,Hans Held (Mediziner),Q1580139,1866,1942,Male,Discovery/Science,Academia,physician,Europe,17.977531,grB,pre1875|v_q2,Laouenan2022_cross_verified,Q1580139,,
cv_Q15314881,Charles Georges-Picot,Q15314881,1866,1930,Male,Discovery/Science,Academia,economist,Europe,18.754005,grB,pre1875|v_q3,Laouenan2022_cross_verified,Q15314881,,
cv_Q313061,Aurel Stein,Q313061,1862,1943,Male,Discovery/Science,Academia,archaeologist,Europe,29.137163,grA,pre1875|v_q4,Laouenan2022_cross_verified,Q313061,,
cv_Q15994329,Cecil Joslin Brooks,Q15994329,1875,1953,Male,Discovery/Science,Academia,botanist,Europe,15.95619,grA,1875_1899|v_q1,Laouenan2022_cross_verified,Q15994329,,
cv_Q7035840,Nikolai Kuehner,Q7035840,1877,1955,Male,Discovery/Science,Academia,orientalist,Asia,17.112642,grA,1875_1899|v_q2,Laouenan2022_cross_verified,Q7035840,,
cv_Q23063217,Friedrich Maria Illert,Q23063217,1892,1966,Male,Discovery/Science,Academia,sociologue,Europe,19.249729,grB,1875_1899|v_q3,Laouenan2022_cross_verified,Q23063217,,
cv_Q14592888,Carmelo Flores Laura,Q14592888,1890,2014,Male,Discovery/Science,Academia,research,America,20.645754,grA,1875_1899|v_q4,Laouenan2022_cross_verified,Q14592888,,
cv_Q30612687,James Alexander MacDonald (botanist),Q30612687,1908,1997,Male,Discovery/Science,Academia,botanist,Europe,14.761447,grA,1900_1924|v_q1,Laouenan2022_cross_verified,Q30612687,,
cv_Q7261837,Pushpa Ratna Sagar,Q7261837,1922,2011,Male,Discovery/Science,Academia,lexicographer,Asia,16.511858,grA,1900_1924|v_q2,Laouenan2022_cross_verified,Q7261837,,
cv_Q4937482,Bogdan Zakrzewski,Q4937482,1916,2011,Male,Discovery/Science,Academia,historian,Europe,18.74852,grA,1900_1924|v_q3,Laouenan2022_cross_verified,Q4937482,,
cv_Q3596077,Francisco Tamayo,Q3596077,1902,1985,Male,Discovery/Science,Academia,botanist,America,21.938244,grA,1900_1924|v_q4,Laouenan2022_cross_verified,Q3596077,,
cv_Q19964177,Friedrich Lorenz (Pädagoge),Q19964177,1925,2012,Male,Discovery/Science,Academia,academic,Europe,16.140985,grB,1925_1949|v_q1,Laouenan2022_cross_verified,Q19964177,,
cv_Q1577507,Hans-Joachim Weimann,Q1577507,1932,2012,Male,Discovery/Science,Academia,scientist,Europe,17.489462,grB,1925_1949|v_q2,Laouenan2022_cross_verified,Q1577507,,
cv_Q2545268,Walter L. Bühl,Q2545268,1934,2007,Male,Discovery/Science,Academia,sociologist,Europe,18.85088,grB,1925_1949|v_q3,Laouenan2022_cross_verified,Q2545268,,
cv_Q1737527,Kazimierz Urbanik,Q1737527,1930,2005,Male,Discovery/Science,Academia,mathematician,Europe,21.092173,grA,1925_1949|v_q4,Laouenan2022_cross_verified,Q1737527,,
cv_Q57447297,Thomas Aisu,Q57447297,1954,2018,Male,Discovery/Science,Academia,physician,Africa,15.14346,grA,1950plus|v_q1,Laouenan2022_cross_verified,Q57447297,,
cv_Q9696997,Carlos Delmonte Printes,Q9696997,1950,2005,Male,Discovery/Science,Academia,physician,America,17.072874,grB,1950plus|v_q2,Laouenan2022_cross_verified,Q9696997,,
cv_Q6947701,Itzhak Ilan,Q6947701,1956,2020,Male,Discovery/Science,Academia,physics,Asia,18.805462,grA,1950plus|v_q3,Laouenan2022_cross_verified,Q6947701,,
cv_Q23059458,Minoo Lenarz,Q23059458,1966,2015,Female,Discovery/Science,Academia,academic,Europe,20.993599,grA,1950plus|v_q4,Laouenan2022_cross_verified,Q23059458,,
cv_Q19959189,Emanuel Christa (Geologe),Q19959189,1874,1949,Male,Discovery/Science,Academia,geologist,Europe,15.436798,grB,pre1875|v_q1,Laouenan2022_cross_verified,Q19959189,,
cv_Q3052265,Émile Haumant,Q3052265,1859,1942,Male,Discovery/Science,Academia,philologist,Europe,16.928843,grB,pre1875|v_q2,Laouenan2022_cross_verified,Q3052265,,
cv_Q19850025,Oskar Simony,Q19850025,1852,1915,Male,Discovery/Science,Academia,mathematician,Europe,18.495722,grB,pre1875|v_q3,Laouenan2022_cross_verified,Q19850025,,
cv_Q1632448,Fusakichi Omori,Q1632448,1868,1923,Male,Discovery/Science,Academia,seismologist,Asia,23.872993,grA,pre1875|v_q4,Laouenan2022_cross_verified,Q1632448,,
cv_Q47490806,Alfons Maria Borst,Q47490806,1893,1973,Male,Discovery/Science,Academia,teacher,Europe,15.32663,grB,1875_1899|v_q1,Laouenan2022_cross_verified,Q47490806,,
cv_Q6225153,John Carl Parish,Q6225153,1881,1939,Male,Discovery/Science,Academia,historian,America,17.143415,grA,1875_1899|v_q2,Laouenan2022_cross_verified,Q6225153,,
cv_Q16439379,Nikolaus Hein,Q16439379,1889,1969,Male,Discovery/Science,Academia,altphilologe,Europe,18.152863,grB,1875_1899|v_q3,Laouenan2022_cross_verified,Q16439379,,
cv_Q7926394,Victor Thébault,Q7926394,1882,1960,Male,Discovery/Science,Academia,mathematician,Europe,20.450367,grA,1875_1899|v_q4,Laouenan2022_cross_verified,Q7926394,,
cv_Q6057164,Padre Joseph Alexander MacDonald,Q6057164,1908,1967,Male,Discovery/Science,Academia,professor,America,15.617245,grB,1900_1924|v_q1,Laouenan2022_cross_verified,Q6057164,,
cv_Q3385700,Pierre L. G. Benoit,Q3385700,1920,1995,Male,Discovery/Science,Academia,zoologist,Europe,16.839106,grB,1900_1924|v_q2,Laouenan2022_cross_verified,Q3385700,,
cv_Q2641681,Alexander Aigner,Q2641681,1909,1988,Male,Discovery/Science,Academia,professor,Europe,19.709221,grA,1900_1924|v_q3,Laouenan2022_cross_verified,Q2641681,,
cv_Q4160442,Robert A. Johnson (psychotherapist),Q4160442,1921,2018,Male,Discovery/Science,Academia,psychologist,America,20.621624,grA,1900_1924|v_q4,Laouenan2022_cross_verified,Q4160442,,
cv_Q1611638,Hermann Jaeger (Geologe),Q1611638,1929,1992,Male,Discovery/Science,Academia,palaeontologist,Europe,15.912621,grB,1925_1949|v_q1,Laouenan2022_cross_verified,Q1611638,,
cv_Q18822352,Vikram Marwah,Q18822352,1925,2013,Male,Discovery/Science,Academia,surgeon,Asia,16.547766,grA,1925_1949|v_q2,Laouenan2022_cross_verified,Q18822352,,
cv_Q7416679,Sandra Leiblum,Q7416679,1943,2010,Female,Discovery/Science,Academia,psychologist,America,18.985538,grA,1925_1949|v_q3,Laouenan2022_cross_verified,Q7416679,,
cv_Q104271,Michael Theunissen,Q104271,1932,2015,Male,Discovery/Science,Academia,philosopher,Europe,21.499334,grB,1925_1949|v_q4,Laouenan2022_cross_verified,Q104271,,
cv_Q56329881,Armin Buschauer,Q56329881,1955,2017,Male,Discovery/Science,Academia,pharmacist,Europe,16.160742,grB,1950plus|v_q1,Laouenan2022_cross_verified,Q56329881,,
cv_Q47216729,Alfonso W. Quiroz,Q47216729,1956,2013,Male,Discovery/Science,Academia,historian,,17.637667,grB,1950plus|v_q2,Laouenan2022_cross_verified,Q47216729,,
cv_Q18620047,Christian Scholz (Wirtschaftswissenschaftler) – ,Q18620047,1952,2019,Male,Discovery/Science,Academia,economist,Europe,19.595125,grB,1950plus|v_q3,Laouenan2022_cross_verified,Q18620047,,
cv_Q1700166,John Gardner (legal philosopher),Q1700166,1965,2019,Male,Discovery/Science,Academia,philosopher,Europe,21.208204,grA,1950plus|v_q4,Laouenan2022_cross_verified,Q1700166,,
cv_Q5712976,Folke Engström,Q5712976,1856,1926,Male,Discovery/Science,Academia,astronomer,Europe,14.979911,grB,pre1875|v_q1,Laouenan2022_cross_verified,Q5712976,,
cv_Q1912572,Max Gerlach,Q1912572,1861,1940,Male,Discovery/Science,Academia,chemist,Europe,17.361649,grB,pre1875|v_q2,Laouenan2022_cross_verified,Q1912572,,
cv_Q1679356,Jakob Sket,Q1679356,1852,1912,Male,Discovery/Science,Academia,education,Europe,18.143562,grB,pre1875|v_q3,Laouenan2022_cross_verified,Q1679356,,
cv_Q108651,Valentin Haecker,Q108651,1864,1927,Male,Discovery/Science,Academia,zoologist,Europe,21.610369,grA,pre1875|v_q4,Laouenan2022_cross_verified,Q108651,,
cv_Q5668111,Alfredo Zimmermann Resta,Q5668111,1895,1925,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,14.261557,grB,1875_1899|v_q1,Laouenan2022_cross_verified,Q5668111,,
cv_Q16945536,Algot Werin,Q16945536,1892,1975,Male,Discovery/Science,Academia,historian,Europe,16.508965,grB,1875_1899|v_q2,Laouenan2022_cross_verified,Q16945536,,
cv_Q4798468,Arthur Disbrowe Cotton,Q4798468,1879,1962,Male,Discovery/Science,Academia,botanist,Europe,19.307665,grA,1875_1899|v_q3,Laouenan2022_cross_verified,Q4798468,,
